Instrument,z5,z50,z95,z50_t6,z50_t12,z50_t18,z50_t24,z50_t48,z50_t72,z50_t96,z50_t384
BlackGEM,0.24,0.072,0.027,0.064,0.069,0.068,0.065,0.046,0.037,0.03,0.0044
DDOTI,0.073,0.023,0.0083,0.021,0.021,0.019,0.018,0.0092,0.0026,0.0012,0
DECam,0.18,0.058,0.023,0.047,0.056,0.055,0.051,0.037,0.022,0.018,0.0022
GOTO,0.097,0.029,0.0097,0.028,0.027,0.022,0.019,0.0068,0.0015,0,0
LSST,0.48,0.15,0.048,0.15,0.13,0.12,0.11,0.061,0.037,0.03,0.0039
MeerLICHT,0.08,0.025,0.01,0.022,0.024,0.023,0.022,0.018,0.015,0.0096,0.0021
PRIME,0.067,0.023,0.01,0.02,0.022,0.023,0.022,0.019,0.017,0.015,0.0022
Roman,0.97,0.29,0.11,0.26,0.28,0.29,0.28,0.26,0.23,0.2,0.06
Swift,0.061,0.015,0.0019,0.013,0.008,0.0038,0.002,0,0,0,0
ULTRASAT,0.1,0.022,0.0022,0.018,0.0086,0.0041,0.0014,0,0,0,0
VISTA,0.094,0.039,0.013,0.029,0.035,0.036,0.036,0.034,0.032,0.03,0.0045
WINTER,0.093,0.039,0.013,0.03,0.035,0.036,0.036,0.034,0.032,0.029,0.0042
ZTF,0.093,0.026,0.0095,0.025,0.024,0.021,0.019,0.0094,0.0043,0.0027,0
