,Instrument,Filter,bandname,wavelength_eff,lim_mag,z50,z95,z5
0,Rubin (LSST) - WFD,u,u-band,3690,23.57,0.078,0.012,0.28
1,Rubin (LSST) - WFD,g,g-band,4830,24.65,0.14,0.035,0.48
2,Rubin (LSST) - WFD,r,r-band,6220,24.21,0.12,0.043,0.43
3,Rubin (LSST) - WFD,i,i-band,7570,23.79,0.099,0.038,0.31
4,Rubin (LSST) - WFD,z,z-band,8700,23.21,0.079,0.028999999999999998,0.24
5,Rubin (LSST) - WFD,y,y-band,9700,22.31,0.052000000000000005,0.021,0.14
6,BlackGEM,u,u-bg,3800,21.5,0.037000000000000005,0.013000000000000001,0.091
7,BlackGEM,g,g-bg,4850,22.6,0.057,0.011000000000000001,0.21
8,BlackGEM,q,vr-bg,5800,23.0,0.07200000000000001,0.027000000000000003,0.23
9,BlackGEM,r,r-bg,6250,22.3,0.052000000000000005,0.022000000000000002,0.14
10,BlackGEM,i,i-bg,7650,21.8,0.044000000000000004,0.013000000000000001,0.13
11,BlackGEM,z,z-bg,9150,20.7,0.025,0.011000000000000001,0.069
12,MeerLICHT,u,u-bg,3800,19.06,0.013000000000000001,0.0052,0.035
13,MeerLICHT,g,g-bg,4850,20.2,0.019,0.0032,0.073
14,MeerLICHT,q,Ru,5800,20.6,0.024,0.01,0.07400000000000001
15,MeerLICHT,r,r-bg,6250,19.9,0.019,0.0067,0.046
16,MeerLICHT,i,i-bg,7650,19.4,0.016,0.0053,0.047
17,MeerLICHT,z,z-bg,9150,18.3,0.0085,0.0023,0.024
18,DDOTI,w,w-band,6190,20.5,0.023,0.0083,0.073
19,ZTF,g,ZTF_g,4770,20.8,0.025,0.0063,0.092
20,ZTF,r,ZTF_r,6420,20.6,0.024,0.0092,0.07400000000000001
21,ZTF,i,ZTF_i,8320,19.9,0.019,0.0061,0.059000000000000004
22,PRIME,z,PrimeZ,9030,20.5,0.023,0.0099,0.067
23,PRIME,Y,PrimeY,10200,20.0,0.019,0.0079,0.048
24,PRIME,J,PrimeJ,12400,19.6,0.017,0.0067,0.044000000000000004
25,PRIME,H,PrimeH,16300,18.4,0.0088,0.0023,0.023
26,Swift,u,U-band,3500,19.9,0.015,0.0019,0.061
27,Roman (WFIRST),R (F062),RomanR,6350,26.2,0.29,0.10400000000000001,0.96
28,Roman (WFIRST),Z (F087),RomanZ,8720,25.7,0.24,0.102,0.79
29,Roman (WFIRST),Y (F106),RomanY,10600,25.6,0.23,0.10300000000000001,0.72
30,Roman (WFIRST),J (F129),RomanJ,12900,25.5,0.22,0.10099999999999999,0.65
31,Roman (WFIRST),H (F158),RomanH,15800,25.4,0.22,0.095,0.48
32,Roman (WFIRST),F (F184),RomanF,18400,24.9,0.17,0.037000000000000005,0.38
33,VISTA,Y,VistaY,10200,21.5,0.038,0.012,0.094
34,VISTA,J,VistaJ,12600,21.0,0.032,0.011000000000000001,0.071
35,VISTA,H,VistaH,16500,21.0,0.031,0.011000000000000001,0.068
36,VISTA,K,VistaKs,21400,20.0,0.018000000000000002,0.006999999999999999,0.045
37,ULTRASAT,NUV,ULTRASAT,2550,22.3,0.022000000000000002,0.0022,0.1
38,DECam,i,DECam_i,7870,22.5,0.057999999999999996,0.022000000000000002,0.18
39,DECam,z,DECam_z,9220,21.8,0.042,0.013999999999999999,0.12
40,WINTER,Y,WinterY,10200,21.5,0.038,0.012,0.09300000000000001
41,WINTER,J,WinterJ,12500,21.3,0.036000000000000004,0.012,0.075
42,WINTER,H,WinterH,15800,20.5,0.023,0.01,0.052000000000000005
43,GOTO,L,GOTO,5730,21.0,0.028999999999999998,0.0097,0.09699999999999999
